fpgas,array_partition,burst_rw,dataflow_func,dataflow_subfunc,vector_add,lmem_2rw,loop_reorder,partition_cyclicblock,shift_register,systolic_array,gmem_2banks,wide_mem_rw,wide_mem_rw_2x,wide_mem_rw_4x,3d-rendering,digit-recognition,optical-flow,spam-filter
u50_fast,0.964968152866242,1.0,1.0,0.9725776965265083,1.0,1.0,1.0,1.0,0.9667405764966741,1.0,1.0,0.9879518072289156,1.0,1.0,0.996268656716418,1.0,1.0,1.0
u280_fast,0.9044585987261147,0.9435336976320583,0.8725663716814159,1.0,0.914179104477612,0.9597701149425287,1.0,0.8503401360544217,1.0,0.8620689655172413,0.9976580796252927,1.0,0.970856102003643,0.9903288201160542,1.0,0.8223684210526315,0.976063829787234,0.8745247148288974
u280_ddr_fast,1.0,0.8579234972677595,0.7522123893805309,0.7952468007312614,0.7705223880597015,0.8486590038314177,0.8857142857142857,0.8503401360544217,0.8957871396895787,0.8620689655172413,0.9742388758782201,0.7108433734939759,0.8852459016393442,0.9903288201160542,0.9328358208955224,0.8223684210526315,0.9202127659574468,0.8326996197718631
